Time,Car,X,Y,"Distance to BS(4982,905)"
425,605,4907,804,125
425,277,4947,701,206
425,4133,5019,645,261
426,277,5246,493,489
426,4507,5380,402,641
426,4133,5291,452,548
426,1034,5438,351,717
426,606,4692,922,289
426,605,4907,804,125
427,605,4904,761,162
427,2280,5099,1270,383
427,606,4693,920,288
428,2280,4919,816,108
428,605,4904,761,162
428,606,4693,922,288
428,3936,4741,850,246
429,63,4591,974,396
429,605,5092,591,332
429,3936,4845,777,186
429,2280,4764,466,489
429,606,4693,920,288
429,3871,4999,1044,140
429,287,4647,916,334
430,2656,5328,458,565
430,605,5311,444,565
430,606,4695,918,287
430,63,4807,825,191
430,4984,4661,906,320
430,5122,4511,1015,482
430,287,4816,796,198
430,3936,4875,760,179
430,3871,4893,785,149
431,5188,4720,841,269
431,5122,4849,763,193
431,4984,4975,688,216
431,606,4693,918,288
431,287,5030,613,295
431,3936,4880,761,175
431,3871,4672,928,310
431,2656,5029,669,240
431,63,4843,787,181
432,287,5132,489,442
432,63,4843,787,181
432,1610,4976,1001,96
432,2656,4944,725,183
432,5122,5140,549,389
432,606,4698,920,283
432,5188,4836,767,200
432,3936,4980,897,7
432,4984,5277,462,532
433,2656,4944,725,183
433,5188,4838,765,199
433,606,4697,920,284
433,1610,4904,771,154
433,287,5006,321,584
433,5122,5476,315,769
433,63,4885,754,178
434,606,4698,912,283
434,562,4504,1026,493
434,1610,4902,771,155
434,63,5176,539,413
434,5188,4838,765,199
434,2656,4944,725,183
435,606,4696,912,285
435,2656,4944,725,183
435,562,4801,821,199
435,1610,5070,599,318
435,3733,5498,336,767
435,5188,4838,763,201
436,562,4859,779,175
436,3733,5180,564,393
436,916,5476,351,742
436,606,4617,961,368
436,2656,4845,798,172
436,5188,4923,713,200
436,3706,4726,868,258
436,1610,5299,446,557
437,3706,5036,622,287
437,5188,5251,477,505
437,3733,4928,748,165
437,562,4874,771,171
437,2656,4617,964,369
437,2325,4577,968,409
437,916,5092,626,299
438,3733,4728,889,253
438,3706,5258,481,505
438,2602,5186,551,408
438,2325,4847,775,186
438,916,4963,721,184
438,562,4930,781,133
439,2982,5318,458,559
439,2325,4845,783,182
439,562,5072,1133,245
439,3733,4536,1023,460
439,916,4963,721,184
439,2602,4954,709,197
440,4960,4591,974,396
440,2602,4954,711,195
440,2325,4845,783,182
440,2982,5225,533,443
440,916,4963,721,184
441,916,4963,721,184
441,2325,4961,688,217
441,4960,4812,806,196
441,2602,4954,711,195
441,3859,5005,1073,169
441,2982,5228,531,447
442,4589,4665,912,316
442,3859,4904,821,113
442,2602,4953,713,193
442,2325,5286,460,538
442,4960,4834,790,186
442,2982,5176,570,386
442,916,4864,785,167
443,2982,4903,761,163
443,916,4509,1032,489
443,4960,5079,609,311
443,4589,4863,773,177
443,2602,4865,785,166
443,3859,4890,839,112
443,4771,4781,1063,255
444,4960,5415,373,686
444,1782,5343,435,592
